"Subject","Item","Condition","Answer","Order"
"Subject8","Item2","Overt","Object","B"
"Subject8","Item3","Null ","Object","B"
"Subject8","Item4","Overt","Subject","B"
"Subject8","Item5","Null ","Subject","B"
"Subject8","Item6","Overt","Object","B"
"Subject8","Item7","Null ","Subject","B"
"Subject8","Item8","Overt","Object","B"
"Subject8","Item9","Null ","Object","B"
"Subject8","Item10","Overt","Object","B"
"Subject8","Item11","Null ","Subject","B"
"Subject8","Item12","Overt","Subject","B"
"Subject8","Item13","Null ","Object","B"
"Subject8","Item14","Overt","Object","B"
"Subject8","Item15","Null ","Object","B"
"Subject8","Item16","Overt","Object","B"
"Subject8","Item17","Null ","Object","B"
"Subject8","Item18","Overt","Subject","B"
"Subject8","Item19","Null ","Object","B"
"Subject8","Item20","Overt","Object","B"
"Subject8","Item21","Null ","Object","B"
"Subject8","Item22","Overt","Object","B"
"Subject8","Item23","Null ","Subject","B"
"Subject8","Item24","Overt","Object","B"
"Subject8","Item25","Null ","Object","B"
"Subject8","Item26","Overt","Object","B"
"Subject8","Item27","Null ","Object","B"
"Subject8","Item28","Overt","Subject","B"
"Subject8","Item29","Null ","Subject","B"
"Subject8","Item30","Overt","Object","B"
"Subject8","Item31","Null ","Object","B"
"Subject8","Item32","Overt","Object","B"
"Subject9","Item1","Overt","Object","A"
"Subject9","Item2","Null","Object","A"
"Subject9","Item3","Overt","Subject","A"
"Subject9","Item4","Null","Subject","A"
"Subject9","Item5","Overt","Subject","A"
"Subject9","Item6","Null","Object","A"
"Subject9","Item7","Overt","Subject+Object","A"
"Subject9","Item8","Null","Object","A"
"Subject9","Item9","Overt","Subject+Object","A"
"Subject9","Item10","Null","Object","A"
"Subject9","Item11","Overt","Object","A"
"Subject9","Item12","Null","Subject","A"
"Subject9","Item13","Overt","Object","A"
"Subject9","Item14","Null","Object","A"
"Subject9","Item15","Overt","Object","A"
"Subject9","Item16","Null","Subject","A"
"Subject9","Item17","Overt","Subject","A"
"Subject9","Item18","Null","Object","A"
"Subject9","Item19","Overt","Object","A"
"Subject9","Item20","Null","Subject+Object","A"
"Subject9","Item21","Overt","Subject+Object","A"
"Subject9","Item22","Null","Subject+Object","A"
"Subject9","Item23","Overt","Subject+Object","A"
"Subject9","Item24","Null","Subject+Object","A"
"Subject9","Item25","Overt","Object","A"
"Subject9","Item26","Null","Subject","A"
"Subject9","Item27","Overt","Object","A"
"Subject9","Item28","Null","Subject+Object","A"
"Subject9","Item29","Overt","Subject+Object","A"
"Subject9","Item30","Null","Subject+Object","A"
"Subject9","Item31","Overt","Subject+Object","A"
"Subject9","Item32","Null","Subject","A"
"Subject10","Item1","Null ","Subject","B"
"Subject10","Item2","Overt","Object","B"
"Subject10","Item3","Null ","Subject","B"
"Subject10","Item4","Overt","Subject","B"
"Subject10","Item5","Null ","Subject","B"
"Subject10","Item6","Overt","Object","B"
"Subject10","Item7","Null ","Subject","B"
"Subject10","Item8","Overt","Object","B"
"Subject10","Item9","Null ","Object","B"
"Subject10","Item10","Overt","Object","B"
"Subject10","Item11","Null ","Object","B"
"Subject10","Item12","Overt","Subject","B"
"Subject10","Item13","Null ","Object","B"
"Subject10","Item14","Overt","Object","B"
"Subject10","Item15","Null ","Subject","B"
"Subject10","Item16","Overt","Object","B"
"Subject10","Item17","Null ","Subject","B"
"Subject10","Item18","Overt","Object","B"
"Subject10","Item19","Null ","Subject","B"
"Subject10","Item20","Overt","Object","B"
"Subject10","Item21","Null ","Object","B"
"Subject10","Item22","Overt","Object","B"
"Subject10","Item23","Null ","Subject","B"
"Subject10","Item24","Overt","Subject+Object","B"
"Subject10","Item25","Null ","Subject","B"
"Subject10","Item26","Overt","Object","B"
"Subject10","Item27","Null ","Subject","B"
"Subject10","Item28","Overt","Subject","B"
"Subject10","Item29","Null ","Subject","B"
"Subject10","Item30","Overt","Object","B"
"Subject10","Item31","Null ","Subject","B"
"Subject10","Item32","Overt","Subject","B"
"Subject11","Item1","Overt","Object","A"
"Subject11","Item2","Null","Subject","A"
"Subject11","Item3","Overt","Object","A"
"Subject11","Item4","Null","Subject+Object","A"
"Subject11","Item5","Overt","Subject","A"
"Subject11","Item6","Null","Subject","A"
"Subject11","Item7","Overt","Subject","A"
"Subject11","Item8","Null","Object","A"
"Subject11","Item9","Overt","Subject+Object","A"
"Subject11","Item10","Null","Object","A"
"Subject11","Item11","Overt","Object","A"
"Subject11","Item12","Null","Subject","A"
"Subject11","Item13","Overt","Subject+Object","A"
"Subject11","Item14","Null","Subject+Object","A"
"Subject11","Item15","Overt","Subject","A"
"Subject11","Item16","Null","Subject","A"
"Subject11","Item17","Overt","Subject","A"
"Subject11","Item18","Null","Subject+Object","A"
"Subject11","Item19","Overt","Object","A"
"Subject11","Item20","Null","Object","A"
"Subject11","Item21","Overt","Object","A"
"Subject11","Item22","Null","Subject+Object","A"
"Subject11","Item23","Overt","Object","A"
"Subject11","Item24","Null","Object","A"
"Subject11","Item25","Overt","Object","A"
"Subject11","Item26","Null","Subject","A"
"Subject11","Item27","Overt","Object","A"
"Subject11","Item28","Null","Object","A"
"Subject11","Item29","Overt","Subject","A"
"Subject11","Item30","Null","Object","A"
"Subject11","Item31","Overt","Subject","A"
"Subject11","Item32","Null","Subject","A"
"Subject12","Item1","Null ","Object","B"
"Subject12","Item2","Overt","Object","B"
"Subject12","Item3","Null ","Object","B"
"Subject12","Item4","Overt","Subject","B"
"Subject12","Item5","Null ","Subject","B"
"Subject12","Item6","Overt","Object","B"
"Subject12","Item7","Null ","Object","B"
"Subject12","Item8","Overt","Object","B"
"Subject12","Item9","Null ","Object","B"
"Subject12","Item10","Overt","Object","B"
"Subject12","Item11","Null ","Object","B"
"Subject12","Item12","Overt","Object","B"
"Subject12","Item13","Null ","Object","B"
"Subject12","Item14","Overt","Object","B"
"Subject12","Item15","Null ","Object","B"
"Subject12","Item16","Overt","Subject","B"
"Subject12","Item17","Null ","Subject","B"
"Subject12","Item18","Overt","Subject","B"
"Subject12","Item19","Null ","Object","B"
"Subject12","Item20","Overt","Object","B"
"Subject12","Item21","Null ","Subject","B"
"Subject12","Item22","Overt","Object","B"
"Subject12","Item23","Null ","Object","B"
"Subject12","Item24","Overt","Object","B"
"Subject12","Item25","Null ","Object","B"
"Subject12","Item26","Overt","Object","B"
"Subject12","Item27","Null ","Object","B"
"Subject12","Item28","Overt","Subject","B"
"Subject12","Item29","Null ","Object","B"
"Subject12","Item30","Overt","Object","B"
"Subject12","Item31","Null ","Subject","B"
"Subject12","Item32","Overt","Subject","B"
"Subject13","Item1","Overt","Subject","A"
"Subject13","Item2","Null","Object","A"
"Subject13","Item3","Overt","Subject","A"
"Subject13","Item4","Null","Subject","A"
"Subject13","Item5","Overt","Subject","A"
"Subject13","Item6","Null","Object","A"
"Subject13","Item7","Overt","Subject","A"
"Subject13","Item8","Null","Object","A"
"Subject13","Item9","Overt","Object","A"
"Subject13","Item10","Null","Subject","A"
"Subject13","Item11","Overt","Object","A"
"Subject13","Item12","Null","Subject","A"
"Subject13","Item13","Overt","Subject","A"
"Subject13","Item14","Null","Object","A"
"Subject13","Item15","Overt","Subject","A"
"Subject13","Item16","Null","Object","A"
"Subject13","Item17","Overt","Subject","A"
"Subject13","Item18","Null","Subject+Object","A"
"Subject13","Item19","Overt","Subject","A"
"Subject13","Item20","Null","Subject","A"
"Subject13","Item21","Overt","Subject","A"
"Subject13","Item22","Null","Object","A"
"Subject13","Item23","Overt","Object","A"
"Subject13","Item24","Null","Object","A"
"Subject13","Item25","Overt","Subject","A"
"Subject13","Item26","Null","Subject","A"
"Subject13","Item27","Overt","Subject","A"
"Subject13","Item28","Null","Subject","A"
"Subject13","Item29","Overt","Subject","A"
"Subject13","Item30","Null","Object","A"
"Subject13","Item31","Overt","Subject","A"
"Subject13","Item32","Null","Subject","A"
"Subject14","Item1","Null ","Subject","B"
"Subject14","Item2","Overt","Subject","B"
"Subject14","Item3","Null ","Object","B"
"Subject14","Item4","Overt","Subject","B"
"Subject14","Item5","Null ","Subject","B"
"Subject14","Item6","Overt","Object","B"
"Subject14","Item7","Null ","Object","B"
"Subject14","Item8","Overt","Object","B"
"Subject14","Item9","Null ","Object","B"
"Subject14","Item10","Overt","Object","B"
"Subject14","Item11","Null ","Object","B"
"Subject14","Item12","Overt","Object","B"
"Subject14","Item13","Null ","Object","B"
"Subject14","Item14","Overt","Object","B"
"Subject14","Item15","Null ","Object","B"
"Subject14","Item16","Overt","Object","B"
"Subject14","Item17","Null ","Subject","B"
"Subject14","Item18","Overt","Subject+Object","B"
"Subject14","Item19","Null ","Object","B"
"Subject14","Item20","Overt","Object","B"
"Subject14","Item21","Null ","Subject+Object","B"
"Subject14","Item22","Overt","Object","B"
"Subject14","Item23","Null ","Subject","B"
"Subject14","Item24","Overt","Object","B"
"Subject14","Item25","Null ","Object","B"
"Subject14","Item26","Overt","Object","B"
"Subject14","Item27","Null ","Object","B"
"Subject14","Item28","Overt","Object","B"
"Subject14","Item29","Null ","Subject","B"
"Subject14","Item30","Overt","Object","B"
"Subject14","Item31","Null ","Subject","B"
"Subject14","Item32","Overt","Object","B"
"Subject15","Item1","Overt","Object","A"
"Subject15","Item2","Null","Object","A"
"Subject15","Item3","Overt","Object","A"
"Subject15","Item4","Null","Subject","A"
"Subject15","Item5","Overt","Subject","A"
"Subject15","Item6","Null","Object","A"
"Subject15","Item7","Overt","Subject","A"
"Subject15","Item8","Null","Object","A"
"Subject15","Item9","Overt","Object","A"
"Subject15","Item10","Null","Subject","A"
"Subject15","Item11","Overt","Object","A"
"Subject15","Item12","Null","Subject","A"
"Subject15","Item13","Overt","Subject","A"
"Subject15","Item14","Null","Object","A"
"Subject15","Item15","Overt","Object","A"
"Subject15","Item16","Null","Object","A"
"Subject15","Item17","Overt","Object","A"
"Subject15","Item18","Null","Object","A"
"Subject15","Item19","Overt","Object","A"
"Subject15","Item20","Null","Object","A"
"Subject15","Item21","Overt","Object","A"
"Subject15","Item22","Null","Object","A"
"Subject15","Item23","Overt","Object","A"
"Subject15","Item24","Null","Object","A"
"Subject15","Item25","Overt","Subject","A"
"Subject15","Item26","Null","Subject","A"
"Subject15","Item27","Overt","Object","A"
"Subject15","Item28","Null","Object","A"
"Subject15","Item29","Overt","Object","A"
"Subject15","Item30","Null","Object","A"
"Subject15","Item31","Overt","Subject","A"
"Subject15","Item32","Null","Subject","A"
"Subject16","Item1","Null ","Object","B"
"Subject16","Item2","Overt","Subject","B"
"Subject16","Item3","Null ","Object","B"
"Subject16","Item4","Overt","Object","B"
"Subject16","Item5","Null ","Subject","B"
"Subject16","Item6","Overt","Object","B"
"Subject16","Item7","Null ","Object","B"
"Subject16","Item8","Overt","Object","B"
"Subject16","Item9","Null ","Object","B"
"Subject16","Item10","Overt","Object","B"
"Subject16","Item11","Null ","Object","B"
"Subject16","Item12","Overt","Subject","B"
"Subject16","Item13","Null ","Object","B"
"Subject16","Item14","Overt","Object","B"
"Subject16","Item15","Null ","Object","B"
"Subject16","Item16","Overt","Subject","B"
"Subject16","Item17","Null ","Subject","B"
"Subject16","Item18","Overt","Object","B"
"Subject16","Item19","Null ","Object","B"
"Subject16","Item20","Overt","Object","B"
"Subject16","Item21","Null ","Object","B"
"Subject16","Item22","Overt","Object","B"
"Subject16","Item23","Null ","Subject","B"
"Subject16","Item24","Overt","Object","B"
"Subject16","Item25","Null ","Object","B"
"Subject16","Item26","Overt","Object","B"
"Subject16","Item27","Null ","Object","B"
"Subject16","Item28","Overt","Object","B"
"Subject16","Item29","Null ","Subject","B"
"Subject16","Item30","Overt","Object","B"
"Subject16","Item31","Null ","Object","B"
"Subject16","Item32","Overt","Object","B"
"Subject17","Item1","Overt","Subject","A"
"Subject17","Item2","Null","Object","A"
"Subject17","Item3","Overt","Object","A"
"Subject17","Item4","Null","Third person","A"
"Subject17","Item5","Overt","Subject","A"
"Subject17","Item6","Null","Subject+Object","A"
"Subject17","Item7","Overt","Object","A"
"Subject17","Item8","Null","Object","A"
"Subject17","Item9","Overt","Object","A"
"Subject17","Item10","Null","Object","A"
"Subject17","Item11","Overt","Object","A"
"Subject17","Item12","Null","Subject","A"
"Subject17","Item13","Overt","Object","A"
"Subject17","Item14","Null","Object","A"
"Subject17","Item15","Overt","Object","A"
"Subject17","Item16","Null","Object","A"
"Subject17","Item17","Overt","Subject","A"
"Subject17","Item18","Null","Subject","A"
"Subject17","Item19","Overt","Object","A"
"Subject17","Item20","Null","Subject+Object","A"
"Subject17","Item21","Overt","Object","A"
"Subject17","Item22","Null","Object","A"
"Subject17","Item23","Overt","Subject","A"
"Subject17","Item24","Null","Object","A"
"Subject17","Item25","Overt","Object","A"
"Subject17","Item26","Null","Subject","A"
"Subject17","Item27","Overt","Object","A"
"Subject17","Item28","Null","Object","A"
"Subject17","Item29","Overt","Subject","A"
"Subject17","Item30","Null","Object","A"
"Subject17","Item31","Overt","Object","A"
"Subject17","Item32","Null","Object","A"
"Subject18","Item1","Null ","Subject","B"
"Subject18","Item2","Overt","Subject","B"
"Subject18","Item3","Null ","Object","B"
"Subject18","Item4","Overt","Object","B"
"Subject18","Item5","Null ","Object","B"
"Subject18","Item6","Overt","Subject","B"
"Subject18","Item7","Null ","Object","B"
"Subject18","Item8","Overt","Object","B"
"Subject18","Item9","Null ","Object","B"
"Subject18","Item10","Overt","Subject","B"
"Subject18","Item11","Null ","Object","B"
"Subject18","Item12","Overt","Subject","B"
"Subject18","Item13","Null ","Object","B"
"Subject18","Item14","Overt","Object","B"
"Subject18","Item15","Null ","Object","B"
"Subject18","Item16","Overt","Subject","B"
"Subject18","Item17","Null ","Object","B"
"Subject18","Item18","Overt","Object","B"
"Subject18","Item19","Null ","Object","B"
"Subject18","Item20","Overt","Object","B"
"Subject18","Item21","Null ","Object","B"
"Subject18","Item22","Overt","Object","B"
"Subject18","Item23","Null ","Object","B"
"Subject18","Item24","Overt","Object","B"
"Subject18","Item25","Null ","Object","B"
"Subject18","Item26","Overt","Object","B"
"Subject18","Item27","Null ","Subject","B"
"Subject18","Item28","Overt","Object","B"
"Subject18","Item29","Null ","Object","B"
"Subject18","Item30","Overt","Object","B"
"Subject18","Item31","Null ","Object","B"
"Subject18","Item32","Overt","Object","B"
"Subject19","Item1","Overt","Object","A"
"Subject19","Item2","Null","Object","A"
"Subject19","Item3","Overt","Object","A"
"Subject19","Item4","Null","Subject","A"
"Subject19","Item5","Overt","Object","A"
"Subject19","Item6","Null","Object","A"
"Subject19","Item7","Overt","Subject","A"
"Subject19","Item8","Null","Subject","A"
"Subject19","Item9","Overt","Object","A"
"Subject19","Item10","Null","Object","A"
"Subject19","Item11","Overt","Object","A"
"Subject19","Item12","Null","Subject","A"
"Subject19","Item13","Overt","Object","A"
"Subject19","Item14","Null","Object","A"
"Subject19","Item15","Overt","Object","A"
"Subject19","Item16","Null","Subject","A"
"Subject19","Item17","Overt","Object","A"
"Subject19","Item18","Null","Object","A"
"Subject19","Item19","Overt","Object","A"
"Subject19","Item20","Null","Subject","A"
"Subject19","Item21","Overt","Object","A"
"Subject19","Item22","Null","Object","A"
"Subject19","Item23","Overt","Object","A"
"Subject19","Item24","Null","Object","A"
"Subject19","Item25","Overt","Object","A"
"Subject19","Item26","Null","Subject","A"
"Subject19","Item27","Overt","Object","A"
"Subject19","Item28","Null","Subject","A"
"Subject19","Item29","Overt","Object","A"
"Subject19","Item30","Null","Object","A"
"Subject19","Item31","Overt","Object","A"
"Subject19","Item32","Null","Subject","A"
"Subject20","Item1","Null ","Subject","B"
"Subject20","Item2","Overt","Object","B"
"Subject20","Item3","Null ","Object","B"
"Subject20","Item4","Overt","Object","B"
"Subject20","Item5","Null ","Subject","B"
"Subject20","Item6","Overt","Object","B"
"Subject20","Item7","Null ","Subject","B"
"Subject20","Item8","Overt","Object","B"
"Subject20","Item9","Null ","Object","B"
"Subject20","Item10","Overt","Object","B"
"Subject20","Item11","Null ","Object","B"
"Subject20","Item12","Overt","Subject","B"
"Subject20","Item13","Null ","Object","B"
"Subject20","Item14","Overt","Subject","B"
"Subject20","Item15","Null ","Subject","B"
"Subject20","Item16","Overt","Object","B"
"Subject20","Item17","Null ","Subject","B"
"Subject20","Item18","Overt","Object","B"
"Subject20","Item19","Null ","Subject","B"
"Subject20","Item20","Overt","Object","B"
"Subject20","Item21","Null ","Object","B"
"Subject20","Item22","Overt","Object","B"
"Subject20","Item23","Null ","Subject","B"
"Subject20","Item24","Overt","Object","B"
"Subject20","Item25","Null ","Object","B"
"Subject20","Item26","Overt","Object","B"
"Subject20","Item27","Null ","Object","B"
"Subject20","Item28","Overt","Object","B"
"Subject20","Item29","Null ","Subject+Object","B"
"Subject20","Item30","Overt","Object","B"
"Subject20","Item31","Null ","Subject","B"
"Subject20","Item32","Overt","Subject","B"
"Subject21","Item1","Overt","Object","A"
"Subject21","Item2","Null","Subject","A"
"Subject21","Item3","Overt","Subject","A"
"Subject21","Item4","Null","Object","A"
"Subject21","Item5","Overt","Subject","A"
"Subject21","Item6","Null","Subject","A"
"Subject21","Item7","Overt","Subject","A"
"Subject21","Item8","Null","Object","A"
"Subject21","Item9","Overt","Object","A"
"Subject21","Item10","Null","Object","A"
"Subject21","Item11","Overt","Object","A"
"Subject21","Item12","Null","Subject","A"
"Subject21","Item13","Overt","Object","A"
"Subject21","Item14","Null","Object","A"
"Subject21","Item15","Overt","Object","A"
"Subject21","Item16","Null","Subject","A"
"Subject21","Item17","Overt","Subject","A"
"Subject21","Item18","Null","Object","A"
"Subject21","Item19","Overt","Object","A"
"Subject21","Item20","Null","Object","A"
"Subject21","Item21","Overt","Object","A"
"Subject21","Item22","Null","Object","A"
"Subject21","Item23","Overt","Subject","A"
"Subject21","Item24","Null","Subject","A"
"Subject21","Item25","Overt","Object","A"
"Subject21","Item26","Null","Object","A"
"Subject21","Item27","Overt","Object","A"
"Subject21","Item28","Null","Object","A"
"Subject21","Item29","Overt","Subject","A"
"Subject21","Item30","Null","Object","A"
"Subject21","Item31","Overt","Object","A"
"Subject21","Item32","Null","Object","A"
"Subject22","Item1","Null ","Object","B"
"Subject22","Item2","Overt","Object","B"
"Subject22","Item3","Null ","Subject+Object","B"
"Subject22","Item4","Overt","Subject","B"
"Subject22","Item5","Null ","Subject","B"
"Subject22","Item6","Overt","Object","B"
"Subject22","Item7","Null ","Subject","B"
"Subject22","Item8","Overt","Object","B"
"Subject22","Item9","Null ","Object","B"
"Subject22","Item10","Overt","Object","B"
"Subject22","Item11","Null ","Object","B"
"Subject22","Item12","Overt","Subject","B"
"Subject22","Item13","Null ","Object","B"
"Subject22","Item14","Overt","Object","B"
